STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,COD,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,74.8,A,Annual,"Congo, Dem. Rep.",Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TGO,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,28.7,A,Annual,Togo,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,KEN,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,41.8,A,Annual,Kenya,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IND,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2016,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,44.6,A,Annual,India,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,KHM,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2010,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,45.5,A,Annual,Cambodia,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,COL,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2010,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,2.3,A,Annual,Colombia,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ALB,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2009,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,29.8,A,Annual,Albania,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,1999,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,51.0,A,Annual,Zimbabwe,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NGA,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2013,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,34.7,A,Annual,Nigeria,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PAK,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2013,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,42.2,A,Annual,Pakistan,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
