TIME_PERIOD,Senegal,Rwanda,Ethiopia,Cameroon
1997,11.6666666666667,17.1428571428571,2.04841713221601,5.55555555555556
1998,12.1428571428571,17.1428571428571,2.04841713221601,5.55555555555556
1999,12.1428571428571,17.1428571428571,2.02578268876611,5.55555555555556
2000,12.1428571428571,25.7142857142857,7.69230769230769,5.55555555555556
2001,16.6666666666667,25.6756756756757,7.6782449725777,5.55555555555556
2002,19.1666666666667,25.6756756756757,7.6782449725777,8.88888888888889
2003,19.1666666666667,48.75,7.6782449725777,8.88888888888889
2004,19.1666666666667,48.75,7.6782449725777,8.88888888888889
2005,19.1666666666667,48.75,21.4285714285714,8.88888888888889
2006,19.1666666666667,48.75,21.9281663516068,8.88888888888889
2007,22.0,48.75,21.9281663516068,13.8888888888889
2008,22.0,56.25,21.9281663516068,13.8888888888889
2009,22.6666666666667,56.25,21.9281663516068,13.8888888888889
2010,22.6666666666667,56.25,27.7879341864717,13.8888888888889
2011,22.6666666666667,56.25,27.7879341864717,13.8888888888889
2012,42.6666666666667,56.25,27.7879341864717,13.8888888888889
2013,42.6666666666667,63.75,27.7879341864717,31.1111111111111
2014,43.3333333333333,63.75,27.7879341864717,31.1111111111111
2015,42.6666666666667,63.75,38.7568555758684,31.1111111111111
2016,42.6666666666667,63.75,38.7568555758684,31.1111111111111
2017,41.8181818181818,61.25,38.7568555758684,31.1111111111111
2018,41.8181818181818,61.25,38.7568555758684,31.1111111111111
2019,41.8181818181818,61.25,38.7568555758684,31.1111111111111
2020,43.030303030303,61.25,38.7568555758684,33.8888888888889
2021,43.030303030303,61.25,42.5882352941177,33.8888888888889
2022,44.2424242424242,61.25,41.4893617021277,33.8888888888889
