REF_AREA_LABEL,OBS_VALUE,TIME_PERIOD,Area
Zambia,0.831730008125305,2007,youth literacy
Burundi,0.860490024089813,2008,youth literacy
Algeria,0.958150029182434,2008,youth literacy
Eritrea,0.904590010643005,2008,youth literacy
Morocco,0.814610004425049,2008,youth literacy
Nigeria,0.766929984092712,2008,youth literacy
Sudan,0.913339972496033,2008,youth literacy
Sierra Leone,0.56129378080368,2008,youth literacy
South Sudan,0.67101001739502,2008,youth literacy
Sao Tome and Principe,0.931140005588531,2008,youth literacy
Tunisia,0.973060011863708,2008,youth literacy
Lesotho,1.19446003437042,2009,youth literacy
Morocco,0.831849992275238,2009,youth literacy
Madagascar,0.970449984073639,2009,youth literacy
Mozambique,0.708159983158112,2009,youth literacy
Senegal,0.753340005874634,2009,youth literacy
Togo,0.850820004940033,2009,youth literacy
South Africa,1.00913000106812,2009,youth literacy
Burundi,0.804621279239655,2010,youth literacy
Burkina Faso,0.579081594944,2010,youth literacy
Central African Republic,0.552049994468689,2010,youth literacy
Cameroon,0.894890010356903,2010,youth literacy
"Egypt, Arab Rep.",0.930980026721954,2010,youth literacy
Ghana,0.942520022392273,2010,youth literacy
Guinea,0.580209970474243,2010,youth literacy
Equatorial Guinea,1.00618004798889,2010,youth literacy
Mali,0.602180004119873,2010,youth literacy
Malawi,0.94226998090744,2010,youth literacy
Rwanda,1.01684999465942,2010,youth literacy
Eswatini,1.0270299911499,2010,youth literacy
Seychelles,1.00801002979279,2010,youth literacy
Tunisia,0.97843998670578,2010,youth literacy
Tanzania,0.951370000839233,2010,youth literacy
Uganda,0.953549981117249,2010,youth literacy
South Africa,1.00518000125885,2010,youth literacy
Zambia,0.948610007762909,2010,youth literacy
Cameroon,0.844569683074951,2011,youth literacy
"Congo, Rep.",0.898029983043671,2011,youth literacy
Ethiopia,0.670713007450104,2011,youth literacy
Morocco,0.833440005779266,2011,youth literacy
Mali,0.527310013771057,2011,youth literacy
Mauritius,1.00899994373322,2011,youth literacy
Namibia,1.01979994773865,2011,youth literacy
Senegal,0.796779990196228,2011,youth literacy
Togo,0.836530029773712,2011,youth literacy
Tunisia,0.98047000169754,2011,youth literacy
South Africa,1.00727999210358,2011,youth literacy
Zimbabwe,1.02751004695892,2011,youth literacy
Benin,0.640250027179718,2012,youth literacy
Cote d'Ivoire,0.66430002450943,2012,youth literacy
"Congo, Dem. Rep.",0.84196001291275,2012,youth literacy
Comoros,0.942889988422394,2012,youth literacy
Cabo Verde,1.00534999370575,2012,youth literacy
"Egypt, Arab Rep.",0.931739985942841,2012,youth literacy
Gabon,1.0228099822998,2012,youth literacy
Guinea,0.519458770751953,2012,youth literacy
Morocco,0.927680015563965,2012,youth literacy
Madagascar,0.960359990596771,2012,youth literacy
Niger,0.651679992675781,2012,youth literacy
Sao Tome and Principe,0.992070019245148,2012,youth literacy
Tunisia,0.976999998092651,2012,youth literacy
Tanzania,0.973309993743896,2012,youth literacy
Uganda,0.952130019664764,2012,youth literacy
South Africa,1.0077999830246,2012,youth literacy
Botswana,1.03413999080658,2013,youth literacy
"Congo, Dem. Rep.",0.827355206012726,2013,youth literacy
"Egypt, Arab Rep.",0.964510023593903,2013,youth literacy
